user_id,try_count,get_count
0x3A4977920ACE45F656A2E078654AF474,275,2
0x79A8C11FCA475353372057A5996DAAF7,156,0
0x77EBAB8FA36A0BA7B5FE0344FF3642E4,470,8
0xF328656F3D26A31F71466F9237E32AA4,143,0
0x4DCCD5E4BC9118ECB822AFDAA88CA229,555,11
0xA9504F33A70A3786A7BD42B2A7D3D642,187,1
0x926D815963B24F18F0706FB880979A25,187,1
0xB9A0C1EEEB9747E6442CA3DB0E4984F4,181,1
0x9A324BA86FC8FDD56F64E091E0F8B612,132,0
0xBC78539D218386778E9BE1DFC08018A3,260,3
0x6BC05E6D309FDBB7A3452B9027796E23,176,1
0xA2A79C32B403989235420B06C2A4033C,176,1
0x087B6014A19D0BBED2F78E5C8D8B0AE4,176,1
0xB6B364446D2B77CE9A69EC2C5EEEF237,121,0
0x621735D318AC4C9CF766F0F6B5F553DF,121,0
0xEBE9A365A9D9AF15E80B5052B23AB402,164,1
0x55F400EC13512A00CC26E3CA227D24F1,552,12
0xC34BF6C71DBC674A56142385CDCAE13E,115,0
0x5E32FDAFC1492E7ADC6AFBB879BE0552,161,1
0x2180EE737E2357073ADDC73836201B7C,199,2
0x15D00A7526C07D5F4A49B7D8AE59FB3F,111,0
0xCA7F2CCABF23F980015513F14AC9417E,111,0
0xE99B92C65DEE2598100DAED4B946EE92,110,0
0xF798BD83D08F7698232A3B7424BD7970,110,0
0x866EA7744420D5CEDADFC2254C72FF3E,110,0
0x580AE74631214BEB1A89C981974EAAA2,379,7
0x315F5973C6B84CDB7E3A2E95CEAD6C5B,152,1
0x279180E11A80992C3AA4798BF24CB07F,231,3
0x91423E6BF7449A8432A9B42A11173D02,105,0
0xC2B31C2546DF2BB24EE56F10DF0D014B,532,12
0x0A66FB5D870815BFFAED9506F9B4C7F4,101,0
0x005B8266FE2D15B652D0AECA9FE8A9A1,187,2
0x7EEF0BE266F86680CB48EAA100187632,187,2
0xC3246533809B667062D6E312BA83973C,187,2
0x60701F57AA71204F80CAF5C1CBB7BC09,187,2
0x35C638B5B07292D51C14AE03EC20345F,187,2
0x6209416C90F048C3E4CE8BB1E6B0794F,100,0
0xD8BD584FAAB73F1536D782BAD438C181,100,0
0xA1968A7C22BD994C6E5BCDD2B3F9C867,261,4
0xE35DEFE50CB8E302EBB9F76C5F40C052,99,0
0x1AF57033944F83203C51DF2C322EB721,99,0
0x1E2CE6D084DB9B11C4E6BC08A3AA969F,99,0
0x640E06EAD8F1DC13CA33EA2776BE61D4,99,0
0x024DC10BC879B24F5A310FAC48914C76,99,0
0x35EA3872607A099C5DE22E44FB259D70,99,0
0xFECFECD2F16D7CC28B6560E6E6F7939D,99,0
0x1C0B32F18BDFC21C5DCA1E886C3C5FAB,99,0
0x7FC7F47446B199D1B92FFC3317432CEB,99,0
0xD1698C0CC9A0CF853C5C5D89E4CCA78F,99,0
0x766E590605D3426317DF2FE0B08FF508,99,0
0xCE274ED48508818CFA94AFB39965B0F3,223,3
0x371E8E8FD3834D832621C19D7553FA71,143,1
0x12E9526C129763738F25D5CD2AEFFFC2,143,1
0x60CD36744635A2316930319C5FB66D41,221,3
0xB22A47CEF014D9B2D0DF62315DF308AE,96,0
0x612F46890C0E35236320307EE2E78A13,95,0
0x43698F026BDE67A588C547C48E05412F,95,0
0xA391A0EEACA002C4C590BEDD5380A3F2,291,5
0xD18BB757916046F0077E3B8D65A71DAA,139,1
0x816E5212C57D0D0B68CC203A2C907BB3,139,1
0x6D84A4D2C78E073A4CA5F794FED22EDE,93,0
0xEA5E26CC07AF80FBBB7CA704A40C33DD,179,2
0x784CA586AD6F024C19184C0CE520A2D0,179,2
0xAF3E8145E82E54361FF6E00F46590691,137,1
0x369562EEB9828975BF977FCFE9E238BA,177,2
0xCA6434BC9A62160E74F773E38CC9AE2A,177,2
0x492C83BE7A6B20596E01AB0F30601463,177,2
0x5ECAE8BFEF53AADD3560C53EE65B8DEB,286,5
0x472C4FAAC9DF8E29192243BDDDF90287,286,5
0x09AE186A284328774003020C2B7CC8D4,176,2
0xE7A0B6625DB3629553E92C800E1FFEEB,176,2
0xAE14BC82357659D9CC2F1F8686028980,90,0
0x91B69E9F62034F276EE371E837C77C05,89,0
0xD77CCBF8EBB1FC08980D6D42E3441352,88,0
0x563B31C2AFC154C8422E2DD15561A969,88,0
0x365CA67F467DAD7402D72C92D686C303,88,0
0x88009335C7FE7B123E5591C1A6788477,88,0
0x3FFD47846601E009EA00B843C970C055,88,0
0x6C559465FEEC52AF7102851952483EE4,416,9
0xF11D1DF8B21296CF34007F9833511659,132,1
0xF4494014F78FD63CCC96EACE10219E82,132,1
0x8DFD9618CDB3E332B15ADBB7E7D6223E,132,1
0xE41BEFA9D8C7FB75C5CDAFD96BF937F9,132,1
0x14537CF9B0554CB6A685A7739A574892,86,0
0xD5116AE35445F05F5982B21FA2742FA6,209,3
0x083C7FF470276C37F91E8F804444AB6F,171,2
0x70BBC72E146A62B12BEA937B6BD6607D,171,2
0xC3A1A190A361FA6DC0892926FD960E53,85,0
0x936D63BCFFB00386BC457F03462EDB8A,84,0
0x4546E90AEA09859EFD2D9284392AA6BC,169,2
0x240B27CBE8FB57B4091A0776C5D19EF2,169,2
0x36FCF2C6DDE4D430FF1C7B492365DEDD,83,0
0x6DF9F4482DF9F65DCDDB8C4DCDD6EB0A,167,2
0xD9C004F69A02C704C6D341A94A192481,127,1
0x2E565A99E9C804D753A812023D7F73E5,127,1
0x061AF2B5A55F9E88758A08A8013A4E3A,126,1
0xF2BFB94D3E9083F7310481A58EAB4003,126,1
0x1FA1246FED15DBC02F4B5177D0FE7872,273,5
0x4B43A92252D37C8DD489C441510504FB,165,2
0xFC2AEB3A6873A7026951051E4F71502E,165,2
0x888C19F160D7AFEA15674D5D5A11FC7A,165,2
0xBC2A7D45C0E07502D94FA377C468EEC6,80,0
0x66AE9CA72FE08D069545D60D83672E03,125,1
0x5EC97ECDE91F03BFDD8A1583288C58E3,79,0
0xE7EA34BD76472C6DD7825FB9C005A022,682,18
0x5AF13258763775243B7F00A28009A397,271,5
0x340AB35F016A210CF29290D0C9A00D72,163,2
0xF70A7A79CFD9F55D8E72ADF08FA2B9AF,78,0
0x960CD10916F545994D64C91E44AC62D4,77,0
0xB9FB922095020E05344E26965B0340CD,77,0
0x484775D0ED285A0D416262FC11C777FF,77,0
0xC4F06415DC7D42FD8244ECB4DBD973A4,77,0
0x43032672428B636FA178AE56984C0B7C,77,0
0xB730195D1BFBE8B6772E80A88E5E5E43,77,0
0x2EAA5093F3F2BE4AD4EACCF1CE92363C,77,0
0x710F8F8ACB3B0E092D989D93105BA42B,77,0
0xF18F15D352F924A86EC2E6898B845545,77,0
0x4B48096558AEF016DB341D1FFFACBE88,77,0
0xCF76620FDEC0D3B772C594CFD00FA18E,77,0
0xD72E552BA68503C1029EAEB0DF02D977,77,0
0x677C75BE91C299CCE2070A367B9E0987,77,0
0x06E67FED26C8F68BA3B6CE82E7F06F10,77,0
0x71A577EFDB14BCD7A4FB3205C74D4A14,77,0
0x612BED4DE8E659E758F84061D2D3C870,77,0
0xA6D31CF8B4E41BD31FC8338BA882806D,77,0
0x467E0B81F6A1F4BE378AE91088602F84,77,0
0xB5B057C0E3337EBD8F25A8CEA3DB60B3,161,2
0x799060FF9DF3FAE41CFB02435A6BD0B7,198,3
0x9BD5BEFF6FCFC9F51EEADDA8DEB29766,198,3
0xB422207FDE8460FCC97FF49B7154FED8,198,3
0x88FD2D20B04DE32115ECAF6B5374A233,198,3
0xB265D288372C150C1BE01E6CA787A345,198,3
0x0C7A0604D824C5560AF1967824508FFA,198,3
0xBE09247C342734D1977C9B83007D034D,121,1
0x79774E5DA43246F902065E35D3EFCA57,121,1
0x79F20492424936398F0D01E9DE097B94,121,1
0xCC57CC08CF47927CE616590F2806AA95,121,1
0xB941E33D9CB8C7996221E9B3F39E9A65,121,1
0x7530D6DCDD6E0610013346ECD5324FD0,76,0
